ID,Info,en,fi,sv,my,bs
gamut.forms.status.WAITING,,In progress,Käsittelyssä,Pågår,Sedang berlangsung,U toku
gamut.forms.lastModified,,Last modified,Viimeksi muutettu,Senast ändrad,Terakhir diubah suai,Zadnje izmijenjeno
gamut.forms.files,,Files,Liitteet,Filer,Fail,Datoteke
gamut.forms.messages,,Messages,Viestit,Meddelanden,Mesej,Poruke
gamut.forms.page.subtitle,,Next:{nextPageTitle},Seuraava:{nextPageTitle},Nästa:{nextPageTitle},Seterusnya:{nextPageTitle},Sljedeće:{nextPageTitle}
gamut.forms.page.subtitle.complete,,Next: Complete,Seuraava: Valmis,Nästa: Komplett,Seterusnya: Lengkap,Sljedeće: Završi
gamut.forms.page.stepper,,{start} of {end},{start} sivu {end},{start} av {slut},{start} of {end},{start] od {end}
gamut.forms.page.selection.key,,Step {stepNumber} out of {totalSteps},Vaihe {stepNumber} vaiheista {totalSteps},Steg {stepNumber} av {totalSteps},Langkah {stepNumber} daripada {totalSteps},Korak {stepNumber} od {totalSteps}
gamut.forms.page.next,,Next,Seuraava,Nästa,Seterusnya,Sledeći
gamut.forms.page.complete,,Complete,Valmis,Komplett,Lengkap,Završi
gamut.forms.page.cancel,,Cancel,Peruuta,Avboka,Batal,Otkaži
gamut.forms.filling.welcome,,Welcome!,Tervetuloa,Välkomna!,Selamat datang!,Dobrodošli!
gamut.forms.filling.must_be_authenticated,,You must be logged in to fill this form,Sinun on kirjauduttava sisään täyttääksesi tämän lomakkeen,Du måste vara inloggad för att fylla i detta formulär,Anda mesti log masuk untuk mengisi borang ini,Za popunjavanje obrasca potrebno je biti prijavljen
gamut.forms.filling.authenticated_and_welcome,,Hello {userName}!,Moi {userName}!,Hei {userName}!,Hello {userName}!,Zdravo {userName}!
gamut.forms.filling.proceed_to_form,,Please click below to start the form,Valitsemalla tästä aloitat lomakkeen täyttämisen,Klicka nedan för att starta formuläret,Sila klik di bawah untuk memulakan borang,Kliknite ispod da pokrenete obrazac
gamut.forms.filling.proceed_to_form_anonUser,,By selecting Continue with form you will begin filling out the form. If you want a response select Cancel and then log in to the portal. Restart your form after logging in.,Valitsemalla Jatka lomakkeella aloitat lomakkeen täyttämisen. Jos haluat siihen vastauksen valitse Peruuta ja valitse Kirjaudu sisään ja valitse tämä lomake sieltä.,Genom att välja Fortsätt med formulär börjar du fylla i formuläret. Om du vill ha svar väljer du Avbryt och väljer Logga in och väljer det här formuläret därifrån.,,
gamut.forms.filling.anonUser_and_welcome,,Hello!,Terve!,Hej!,Hello!,Hello!
gamut.forms.filling.start,,You are about to start this form,Olet aloittamassa lomaketta,Du är på väg att starta detta formulär,Anda akan memulakan borang ini,Popunjavanje obrasca započinje
gamut.forms.filling.login-then-start.button,,Log in now,Kirjaudu sisään,Logga in nu,Log in now,Prijavi se sada
gamut.forms.filling.start.info1,,Your form progress is saved automatically as you go,Lomake tallentuu automaatisesti sitä täytettäessä,Dina formulärförlopp sparas automatiskt när du går,Kemajuan borang anda disimpan secara automatik semasa anda pergi,Obrazac se automatski sprema tokom popunjavanja
gamut.forms.filling.start.button,,Continue to form,Jatka lomakkeella,Fortsätt att bilda,Teruskan membentuk,Nastavak na obrazac
gamut.forms.filling.cancel.button,,Cancel,Peruuta,Avboka,Batal,Otkaži
gamut.forms.filling.summary,,You have completed the form,Olemme vastaanottaneet lomakkeesi,Vi har tagit emot ditt formulär,Anda telah melengkapkan borang,Obrazac je uspješno popunjen
gamut.forms.filling.summary.thank-you,,Thank you!,Kiitos!,Tack!,terima kasih!,Hvala!
gamut.forms.filling.summary.info1,,Our staff has been notified of your request and will begin processing soon.,Saat ilmoituksen kun asiontipyyntösi on otettu käsittelyyn,Vår personal har underrättats om din förfrågan och kommer att börja behandla snart.,Kakitangan kami telah dimaklumkan tentang permintaan anda dan akan mula memproses tidak lama lagi.,Osoblje je obaviješteno o zahtjevu i uskoro će početi s obradom.
gamut.forms.filling.summary.info2,,Be sure to check My Overview regularly for,Muistahan välillä tarkistaa Minun asiat osiota,Se till att kontrollera Min översikt regelbundet för,Pastikan anda menyemak Gambaran Keseluruhan Saya dengan kerap untuk,Preporučuje se redovno provjeravati Moj pregled
gamut.forms.filling.summary.info3,,Case status updates,Asian käsittelyn tila,Statusuppdateringar för formulärbearbetning,Kemas kini status pemprosesan borang,Ažuriranje statusa obrade obrasca
gamut.forms.filling.summary.info4,,New messages from our staff regarding your request,Viereillä oleviin asioihin liittyvä uudet viestit,Nya meddelanden från vår personal angående din förfrågan,Mesej baharu daripada kakitangan kami mengenai permintaan anda,Nove poruke osoblja u vezi sa zahtjevom
gamut.forms.filling.summary.info5,,New files we have sent to you or requested from you,"Uudet tiedostot, jotka olemme toimittaneet sinulle tai pyytäneet sinulta",Nya filer som vi har skickat till dig eller begärt av dig,Fail baharu yang telah kami hantar kepada anda atau diminta daripada anda,Nove poslane ili zatražene datoteke
gamut.forms.filling.summary.info6,client spesific msg,Still have questions? Contact us by phone at xxxx-xxxx with questions,Jäikö kysyttävää? Ota yhteyttä puhelimitse numeroon xxxx-xxxx kysymyksiä varten.,Har du fortfarande frågor? Kontakta oss per telefon på xxxx-xxxx med frågor,Masih ada soalan? Hubungi kami melalui telefon di xxxx-xxxx dengan pertanyaan,Za dodatna pitanja moguće je kontaktirati telefonom na xxxx-xxxx
gamut.forms.filling.representativeNotAuthorized,,"Sorry, you have not been authorised to fill this form. Please contact our office for questions.",Ei valtuutusta täyttää tätä lomaketta. Ota yhteyttä.,Ej behörig att fylla i detta formulär. Kontakta vårt kontor.,Anda tidak memiliki izin untuk mengisi formulir ini. Hubungi kantor kami.,Nemate ovlasti za ispunjavanje ovog obrasca. Obratite se našem uredu.
gamut.forms.summary.button.back-to-overview,,Back to My Overview,Takaisin Minun Asiat sivulle,Tillbaka till Min översikt,Kembali ke Gambaran Keseluruhan Saya,Povratak na Moj pregled
gamut.forms.answer.date.placeholder.day,,dd,pp,dd,hh,dd
gamut.forms.answer.date.placeholder.month,,mm,kk,mm,bb,mm
gamut.forms.answer.date.placeholder.year,,yyyy,vvvv,åååå,tttt,gggg
gamut.forms.answer.date.placeholder.hour,,hh,tt,hh,jj,ss
gamut.forms.answer.date.placeholder.minute,,mm,mm,mm,mm,mm
gamut.forms.answer.boolean.yes,,Yes,Kyllä,Ja,Ya,Da
gamut.forms.answer.boolean.no,,No,Ei,Inga,Tidak,Ne
gamut.forms.unfinished.none,,You do not have any unfinished forms,Sinulla ei ole keskeneräisiä lomakkeita,Du har inga oavslutade formulär,Anda tidak mempunyai sebarang borang yang belum selesai,Nema nedovršenih obrazaca
gamut.forms.unfinished.title,,Unfinished forms,Keskeneräiset lomakkeet,Oavslutade former,Borang yang belum selesai,Nedovršeni obrasci
gamut.forms.unfinished.subtitle,unfinished forms main title view,Please select a form to continue filling or cancel,Valitse lomake jatkaaksesi sen täyttämistä,Bearbetningen har inte startat - Välj ett formulär för att fortsätta fylla eller avbryta,Pemprosesan belum bermula - Sila pilih borang untuk terus mengisi atau membatalkan,"Obrada nije započeta - Potrebno je odabrati formu za nastavak popunjavanja, ili otkazati"
gamut.forms.awaitingDecision.title,case main view,Cases under review,"Asiat, jotka odottavat käsittelyä",Blanketter som väntar på beslut,Borang menunggu keputusan,Obrasci koji čekaju na odluku
gamut.forms.awaitingDecision.subtitle,case main view,Cases whose processing has begun,"Asiat, jotka on otettu käsittelyyn",Behandlingen har påbörjats - Vår personal arbetar med din förfrågan,Pemprosesan telah bermula - Kakitangan kami sedang mengusahakan permintaan anda,Obrada je započeta - Naše osoblje radi na ovom zahtjevu
gamut.forms.withDecision.title,case main view,Cases are closed,"Asia, jotka on käsitelty",Blanketter med slutligt beslut,Borang dengan keputusan muktamad,Obrasci sa konačnom odlukom
gamut.forms.withDecision.subtitle,case main view,Case processing is complete and finalised,Asiointitapahtuma on valmis,Bearbetningen är klar och slutförd,Pemprosesan selesai dan dimuktamadkan,Obrada je završena
gamut.offers.deleteForm.title,,Delete unfinished form,Poista keskeneräiset lomakkeet,Ta bort oavslutat formulär,Padamkan borang yang belum selesai,Izbrisati nedovršene obrasce
gamut.offers.deleteForm.content,,Are you sure you want to delete this form? You can not undo this action.,Haluatko varmasti poistaa tämän lomakkeen? Et voi kumota tätä toimintoa.,Är du säker på att du vill ta bort det här formuläret? Du kan inte ångra den här åtgärden.,Adakah anda pasti mahu memadamkan borang ini? Anda tidak boleh membuat asal tindakan ini.,Želiš li izbrisati ovu formu? Ova radnja se ne može poništiti.
gamut.offers.deleteForm.cancelButton,,No keep this form,Älä poista tätä lomaketta,"Nej, behåll detta formulär",Jangan simpan borang ini,"Ne, zadrži ovaj obrazac"
gamut.offers.deleteForm.deleteButton,,Yes delete this form,Kyllä haluan poistaa tämän lomakkeen,"Ja, ta bort detta formulär",Ya padamkan borang ini,"Da, izbriši ovaj obrazac"
// -------------------- GAMUT INBOX ---------------------------,,,,#VALUE!,,
gamut.inbox.title,,Inbox,Saapuneet,Inkorg,Peti masuk,Dolazne poruke
gamut.inbox.subtitle,inbox,Messages and files related to your cases,Viestit ja liitteet liittyen asiontitapahtumiin,Meddelanden och filer relaterade till dina formulär,Mesej dan fail yang berkaitan dengan borang anda,Poruke i datoteke povezane sa obrascima
gamut.inbox.messages.title,,Messages,Viestit,Meddelanden,Mesej,Poruke
gamut.inbox.subjectAttachment.title,,Attachments,Liitteet,Bilagor,Lampiran,Prilozi
gamut.inbox.newMessage.placeholder,,Please write your message,Kirjoita viestisi,Skriv ditt meddelande,Sila tulis mesej anda,Unesi poruku
gamut.inbox.newMessage.replyingTo,,Replying to,Vastaa viestiin,Svarar på,Membalas kepada,Odgovor na
gamut.inbox.newMessage.sendNew,,Send a new message,Lähetä uusi viesti,Skicka ett nytt meddelande,Hantar mesej baharu,Pošalji novu poruku
gamut.inbox.newMessage.replyingTo.subject,,Subject,Aihe,Ämne,Subjek,Predmet
gamut.inbox.newMessage.notAllowed1,,The messaging function related to this case has not been activated yet.,Tähän asiontiin liittyvä viestitoiminto ei ole vielä aktivoitu.,Den meddelandefunktion som är kopplad till denna transaktion är inte aktiverad ännu.,Mesej tidak didayakan.,Ovaj obrazac je uspješno obrađen i slanje novih poruka je onemogućeno.
gamut.inbox.newMessage.notAllowed2,,It will be activated as soon as your case is opened.,Se aktivoituu heti kun asiasi otetaan käsittelyyn.,Det aktiveras så snart ditt ärende tas upp till behandling.,Kami memohon maaf atas kesulitan ini.,Izvinjavamo se zbog neugodnosti.
gamut.inbox.newMessage.notAllowed.questions,,Please contact us by phone or email with further questions.,"Ota meihin yhteyttä puhelimitse tai sähköpostitse, jos sinulla on lisäkysymyksiä.",Kontakta oss gärna via telefon eller e-post med ytterligare frågor.,Sila hubungi kami melalui telefon atau e-mel untuk pertanyaan lanjut.,Za dodatna pitanja moguće je kontaktirati telefonom ili e-mailom.
gamut.inbox.noMessages,,No messages,Ei viestejä,Inga meddelanden,Tiada mesej,Nema poruka
gamut.inbox.newMessageFrom,,New message from,Uusi viesti,Ny meddelande från,Mesej baharu daripada,Nova poruka od
gamut.subjectMessage.title,,Messages regarding {subject},Viestit koskien {subject},Meddelanden om {ämne},Mesej berkenaan {subject},Poruke o {subject}
// -------------------- GAMUT RESERVATIONS ---------------------,,,,#VALUE!,,
gamut.bookings.title,,Calendar reservations,Kalenterivaraukset,Kalenderreservationer,Tempahan kalendar,Kalendarske rezervacije
gamut.bookings.subtitle,,Manage your existing appointments and reservations here,Hallinnoi kalenterivarauksiasi,Hantera dina befintliga möten och bokningar här,Uruskan janji temu dan tempahan anda yang sedia ada di sini,Upravljanje postojećim terminima i rezervacijama ovdje
gamut.bookings.serviceName,,Name of service,Palvelun nimi,Tjänstens namn,Nama perkhidmatan,Naziv usluge
gamut.bookings.bookingDateTime,,Scheduled date and time,Varaa aika,Schemalagt datum och tid,Tarikh dan masa yang dijadualkan,Zakazani datum i vrijeme
gamut.bookings.deleteBooking.title,,Cancel calendar reservation,Peruuta aika,Avboka kalenderreservation,Batalkan tempahan kalendar,Otkazivanje rezervacije
gamut.bookings.deleteBooking.content,,Are you sure you want to cancel your reservation? You can not undo this action.,Haluatko varmasti peruuttaa varauksesi? Et voi kumota tätä toimintoa.,Är du säker på att du vill avboka din bokning? Du kan inte ångra den här åtgärden.,Adakah anda pasti mahu membatalkan tempahan anda? Anda tidak boleh membuat asal tindakan ini.,Želite li otkazati ovu rezervaciju? Ova radnja se ne može poništiti.
gamut.bookings.deleteBooking.cancelButton,,No keep my reservation,Ei haluan pitää varaukseni,"Nej, behåll min reservation",Jangan simpan tempahan saya,"Ne, zadrži moju rezervaciju"
gamut.bookings.deleteBooking.deleteButton,,Yes cancel this reservation,Kyllä haluan peruuttaa varauksen,Ja avboka denna reservation,Ya batalkan tempahan ini,"Da, otkaži ovu rezervaciju"
// -------------------- USER OVERVIEW BUTTONS -----------------,,,,#VALUE!,,
gamut.userOverview.services.detail.title,left hand menu,Find services and start forms,Etsi palveluja ja lomakkeita,Hitta tjänster och startformulär,Cari perkhidmatan dan mulakan borang,Pronađi uslugu i pokreni obrazac
gamut.userOverview.buttons.logout-representative,left hand menu,Log out as representative,Kirjaudu ulos edustajana,Logga ut som representant,Log keluar sebagai wakil,Odjava predstavnika
gamut.userOverview.buttons.login-representative,left hand menu,Log in as representative,Kirjaudu sisään edustajana,Logga in som representant,Log masuk sebagai wakil,Prijava predstavnika
gamut.userOverview.buttons.logout,left hand menu,Log out,Kirjaudu ulos edustajana,Logga ut,Log keluar,Odjava
gamut.userOverview.buttons.logout-company,left hand menu,Log out as company,Kirjaudu ulos yrityksen edustajana,Logga ut som företag,Log keluar sebagai syarikat,Odjava kompanije
gamut.userOverview.buttons.login-company,left hand menu,Log in as company,Kirjaudu sisään yrityksen edustajana,Logga in som företag,Log masuk sebagai syarikat,Prijava kompanije
gamut.userOverview.buttons.user-overview,left hand menu,User overview home,Käyttäjän tiedot,Användaröversikt hem,Rumah gambaran keseluruhan pengguna,Moj pregled
gamut.userOverview.buttons.services,left hand menu,Find services and start forms,Etsi palveluja ja lomakkeita,Hitta tjänster och startformulär,Cari perkhidmatan dan mulakan borang,Pronađi uslugu i pokreni obrazac
gamut.userOverview.buttons.requests-in-progress,left hand menu,Unfinished forms,Keskeneräiset lomakkeet,Oavslutade former,Borang yang belum selesai,Nedovršeni obrasci
gamut.userOverview.buttons.awaiting-decision,left hand menu,Cases pending,Asiat jotka odottavat käsittelyä,Blanketter som väntar på beslut,Borang menunggu keputusan,Obrasci koji čekaju na odluku
gamut.userOverview.buttons.with-decision,left hand menu,Closed cases,Asiat jotka on käsitelty,Blanketter med slutligt beslut,Borang dengan keputusan muktamad,Obrasci sa konačnom odlukom
gamut.userOverview.buttons.inbox,left hand menu,Inbox,Viestit,Inkorg,Peti masuk,Dolazne poruke
gamut.userOverview.buttons.bookings,left hand menu,Calendar reservations,Kalenterivaraukset,Kalenderreservationer,Tempahan kalendar,Kalendarske rezervacije
// -------------------- USER OVERVIEW --------------------------,,,,#VALUE!,,
gamut.userOverview.home,dashboard,User overview home,Käyttäjän tiedot,Användaröversikt hem,Rumah gambaran keseluruhan pengguna,Moj pregled
gamut.userOverview.welcome.title,dashboard,Welcome to my Overview,Tervetuloa minun tietoihin,Välkommen till min översikt,Selamat datang ke Gambaran Keseluruhan saya,Dobrodošli na Moj pregled
gamut.userOverview.unfinished-forms.detail.title,dashboard,Unfinished forms,Keskeneräiset lomakkeet,Oavslutade former,Borang yang belum selesai,Nedovršeni obrasci
gamut.userOverview.waiting-forms.detail.title,dashboard,Forms awaiting decision,"Asiat, jotka odottavat käsittelyä",Blanketter som väntar på beslut,Borang menunggu keputusan,Obrasci koji čekaju na odluku
gamut.userOverview.decided-forms.detail.title,dashboard,Forms with final decision,"Asiat, jotka on käsitelty",Blanketter med slutligt beslut,Borang dengan keputusan muktamad,Obrasci sa odlukom
gamut.userOverview.inbox.detail.title,dashboard,Inbox,Viestit,Inkorg,Peti masuk,Dolazne poruke
gamut.userOverview.bookings.detail.title,dashboard,Calendar bookings,Kalenteri varaukseni,Kalenderbokningar,Tempahan kalendar,Kalendarske rezervacije
gamut.userOverview.welcome.desc,dashboard,From here you can search and apply for our services view the status of your applications send messages and files and book appointments with us,"Täältä voit etsiä ja hakea palveluitamme, tarkastella hakemustesi tilaa, lähettää viestejä ja tiedostoja sekä varata aikoja kanssamme.",Härifrån kan du söka och ansöka om våra tjänster se status för dina applikationer skicka meddelanden och filer och boka möten med oss,Dari sini anda boleh mencari dan memohon perkhidmatan kami melihat status aplikasi anda menghantar mesej dan fail serta menempah janji temu dengan kami,"Odavde je moguće pretraživati i prijaviti se za naše usluge, pregledati status prijava, slati poruke i datoteke, te rezervisati termine."
// -------------------- FEEDBACK SELECT -------------------------,,,,#VALUE!,,
gamut.feedback.table.sorted.desc,,Sorted descending,Lajiteltu laskevassa järjestyksessä,Sorterat fallande,Diisih menurun,Sortirano opadajuće
gamut.feedback.table.sorted.asc,,Sorted ascending,Lajiteltu nousevassa järjestyksessä,Sorterat stigande,Diisih menaik,Sortirano rastuće
gamut.feedback.table.topic,,Topic,Aihe,Ämne,Topik,Tema
gamut.feedback.table.subtopic,,Sub topic,Aliaihe,Underämne,Sub topik,Podtema
gamut.feedback.table.updatedOnDate,,Date,Päivämäärä,Datum,Tarikh,Datum
gamut.feedback.table.title,,Feedback,Palaute,Feed-back,Maklum balas,Povratna informacija
gamut.feedback.table.topicTitle,,Title,Otsikko,Titel,Tajuk,Naziv
gamut.feedback.table.nodata,,No data,Ei tietoja,Ingen data,Tiada data,Nema podataka
gamut.feedback.vote.title,,Was this answer helpful?,Oliko vastauksesta hyötyä?,Var detta svar till hjälp?,Adakah jawapan ini membantu?,Da li je odgovor bio od pomoći?
gamut.feedback.vote.notHelpful,,No this was not helpful,Ei vastauksesta ei ollut apua,"Nej, detta var inte till hjälp.","Tidak, ini tidak membantu","Ne, nije bio od pomoći"
gamut.feedback.vote.yesHelpful,,Yes this was helpful,Kyllä vastauksesta oli apua,"Ja, detta var hjälpsamt.",Ya ini membantu,"Da, bio je od pomoći"
gamut.feedback.vote.loginReq,,You must be logged in to rate feedback,Sinun on kirjauduttava sisään arvioidaksesi palautetta,Du måste vara inloggad för att betygsätta feedback,Anda mesti log masuk untuk menilai maklum balas,Za ocjenjivanje povratne informacije potrebno je biti prijavljen
gamut.feedback.updatedOnDate,,Updated date,Päivitä päivämäärä,Uppdaterat datum,Tarikh dikemas kini,Ažuriran datum
gamut.feedback.feedbackViewerTitle,,Customer feedback,Asiakas palaute,Kundrespons,Maklum balas pelanggan,Povratna informacija klijenta
gamut.feedback.feedbackViewerSubTitle,,Organisation reply,Organisaation palaute,Organisationens svar,Balasan organisasi,Odgovor organizacije
// ----------------------- DIALOB REVIEW -------------------------,,,,,,
dialob.review.title,,Form review,Lomakkeen esikatselu,Formulärgranskning,Semakan borang,Pregled obrasca
dialob.review.button.close,,Close,Sulje,Stäng,Tutup,Zatvori

